Site,Avg_Log,SD_Log,gm,gm_LC,gm_UC,pFailIns,pFail_LC,pFail_UC,Clss,Clss_Inst_10,Clss_Inst_20
BB010,4.913856973245498,0.9698992703883735,136.16358220164827,95.59964187104522,193.93923193765113,0.2777777777777779,0.15645797452995697,0.4436897446070605,Poor,Poor,Poor
BL010,5.748127728009989,0.8691099827019028,313.60296025175677,221.24089559622183,444.5236781998654,0.5135135135135132,0.3564970922559413,0.6679072246094032,Poor,Poor,Poor
BL020,5.925013390328039,1.0509844651959823,374.2834471048567,246.862121242707,567.4750669381306,0.6923076923076921,0.4945266351311003,0.8380452018263127,Poor,Poor,Poor
CW010,5.889260936330436,1.2260541970031327,361.13828153481904,248.1710604546311,525.5280698361881,0.5937499999999997,0.41922054013913196,0.7474301875389342,Poor,Poor,Poor
CW020,6.042289108128455,0.9521331005710529,420.85531640895374,290.8693349129388,608.9304580790367,0.7575757575757576,0.5849902457726156,0.8738652510662601,Poor,Poor,Poor
DB010,4.178394276604755,1.3750526172259059,65.26097795711439,44.57837806511461,95.53948413506555,0.12903225806451624,0.049284294000960016,0.29744896456801345,Good,Poor,Good
DG010,5.209282429288258,0.93172862793014255,182.9627223870642,130.80983488994494,255.908569959208,0.3,0.17893940530223756,0.4573424414208129,Poor,Poor,Poor
IN010,5.365409710950651,0.730699302887285,213.8788452372177,141.06577737435558,324.2753933054324,0.3846153846153847,0.22095833587150965,0.5793445069956712,Poor,Poor,Poor
L010,5.17281333098915,0.8427395785281934,176.41044096924836,129.4467029807258,240.41279512231702,0.36170212765957444,0.23812674404399803,0.506751856041846,Poor,Poor,Poor
L020,4.840433611147837,0.8657563739290545,126.52420214190413,77.7566592768321,205.8778486181077,0.21052631578947373,0.08130929400416702,0.4455116260535029,Poor,Poor,Poor
M010,5.9317098056797395,1.1773338627191823,376.79821509416615,273.6328004998519,518.8591961153661,0.7045454545454546,0.5551288059060331,0.8200461681914143,Poor,Poor,Poor
