"","Site","Name","Year","Date","Time","QC","Depth","Temp","DO","PctSat","Ecoli","Flag"
"1","BB010","BAKER BROOK - RPLBK17 - VRMP",2009,2009-05-16,"06:15:00","NA",NA,14.6,8.7,85.7,21.1,FALSE
"2","DB010","DITCH BROOK - RPL00 - VRMP",2009,2009-05-16,"06:37:00","NA",NA,16.3,9.86,100.5,NA,FALSE
"3","DG010","DOUGLAS BROOK - RLTNBDG20 - VRMP",2009,2009-05-16,"07:25:00","NA",NA,14.6,8.75,86.2,NA,FALSE
"4","L010","LITTLE RIVER - RLT08 - VRMP",2009,2009-05-16,"08:20:00","NA",NA,14.3,9.5,93.5,NA,FALSE
"5","L020","LITTLE RIVER - RLT15 - VRMP",2009,2009-05-16,"07:50:00","NA",NA,14.1,9.96,96.9,34.5,FALSE
"6","M010","MILL BROOK - RML01 - VRMP",2009,2009-05-16,"07:40:00","NA",NA,14.2,10.63,104.1,60.5,FALSE
"7","M030","MILL BROOK - RML63 - VRMP",2009,2009-05-16,"07:40:00","NA",NA,16.6,9.7,92.7,22.8,FALSE
"8","M030","MILL BROOK - RML63 - VRMP",2009,2009-05-16,"07:40:00","D",NA,NA,NA,NA,16.1,FALSE
"9","N010","NASON BROOK - RNS11 - VRMP",2009,2009-05-16,"06:58:00","NA",NA,12.2,9.3,86.9,44.8,FALSE
"10","OB010","OTTER BROOK - ROT06 - VRMP",2009,2009-05-16,"06:10:00","NA",NA,13.5,4.6,44.5,50.4,FALSE
"11","OB010","OTTER BROOK - ROT06 - VRMP",2009,2009-05-16,"06:10:00","D",NA,NA,NA,NA,88.2,FALSE
"12","P020","PRESUMPSCOT RIVER - R24 - VRMP",2009,2009-05-16,"07:20:00","NA",NA,14.6,11.11,110.4,7.4,FALSE
"13","P030","PRESUMPSCOT RIVER - R47 - VRMP",2009,2009-05-16,"07:30:00","NA",NA,14.8,11.29,111.7,33.6,FALSE
"14","P080","PRESUMPSCOT RIVER - R126 - VRMP",2009,2009-05-16,"06:27:00","NA",NA,13.1,10.49,99.8,35,FALSE
"15","P089","PRESUMPSCOT RIVER - R129 - VRMP",2009,2009-05-16,"06:35:00","NA",NA,13.1,10.55,100.2,21.1,FALSE
"16","P110","PRESUMPSCOT RIVER - R133 - VRMP",2009,2009-05-16,"06:49:00","NA",NA,13,10.48,100.1,24.6,FALSE
"17","P135","PRESUMPSCOT RIVER - R157 - VRMP",2009,2009-05-16,"07:09:00","NA",NA,13.4,9.2,83.7,14.3,FALSE
"18","P150","PRESUMPSCOT RIVER - R166 - VRMP",2009,2009-05-16,"06:31:00","NA",NA,13,9.13,86.9,6.3,FALSE
"19","P160","PRESUMPSCOT RIVER - R195 - VRMP",2009,2009-05-16,"06:07:00","NA",NA,12.4,9.68,90.4,2,FALSE
"20","P170","PRESUMPSCOT RIVER - R202 - VRMP",2009,2009-05-16,"05:45:00","NA",NA,12.2,10.12,94.9,7.4,FALSE
"21","P200","PRESUMPSCOT RIVER - R225 - VRMP",2009,2009-05-16,"07:00:00","NA",NA,13.5,10.9,100.3,6.3,FALSE
"22","PI010","EAST BRANCH PISCATAQUA RIVER - RPSEB05 - VRMP",2009,2009-05-16,"07:15:00","NA",NA,14.1,10.1,98.5,104.6,FALSE
"23","PI020","PISCATAQUA RIVER - RPS12 - VRMP",2009,2009-05-16,"07:40:00","NA",NA,15.6,10.7,102.7,86,FALSE
"24","PL010","PLEASANT RIVER - RPL06 - PRW",2009,2009-05-16,"06:30:00","NA",NA,17.1,8.75,86.5,55.6,FALSE
"25","PL020","PLEASANT RIVER - RPL29 - VRMP",2009,2009-05-16,"06:45:00","NA",NA,16.5,8.89,91.1,129.1,FALSE
"26","PL030","PLEASANT RIVER - RPL37 - VRMP",2009,2009-05-16,"07:00:00","NA",NA,16.6,8.91,91.1,235.9,FALSE
"27","PL040","PLEASANT RIVER - RPL47 - VRMP",2009,2009-05-16,"06:26:00","NA",NA,15.1,9.3,102,365.4,FALSE
"28","TA010","TANNERY BROOK - RLTTN06 - VRMP",2009,2009-05-16,"06:25:00","NA",NA,13.5,9.2,87,34.5,FALSE
"29","BB010","BAKER BROOK - RPLBK17 - VRMP",2009,2009-05-30,"05:40:00","NA",NA,11.7,10.1,93.5,101.9,FALSE
"30","DB010","DITCH BROOK - RPL00 - VRMP",2009,2009-05-30,"06:53:00","NA",NA,13.4,10.3,98.1,52.9,FALSE
"31","DG010","DOUGLAS BROOK - RLTNBDG20 - VRMP",2009,2009-05-30,"07:20:00","NA",NA,11.2,10,92.5,126.6,FALSE
"32","L010","LITTLE RIVER - RLT08 - VRMP",2009,2009-05-30,"06:35:00","NA",NA,10.8,10.84,97.8,NA,FALSE
"33","L020","LITTLE RIVER - RLT15 - VRMP",2009,2009-05-30,"06:55:00","NA",NA,10.8,10.82,97.5,NA,FALSE
"34","M010","MILL BROOK - RML01 - VRMP",2009,2009-05-30,"07:40:00","NA",NA,11.6,11.11,102.2,NA,FALSE
"35","M030","MILL BROOK - RML63 - VRMP",2009,2009-05-30,"07:00:00","NA",NA,13.8,9.7,94.1,NA,FALSE
"36","N010","NASON BROOK - RNS11 - VRMP",2009,2009-05-30,"07:14:00","NA",NA,10.1,10.01,90.6,290.9,FALSE
"37","N010","NASON BROOK - RNS11 - VRMP",2009,2009-05-30,"07:14:00","D",NA,NA,NA,NA,365.4,FALSE
"38","OB010","OTTER BROOK - ROT06 - VRMP",2009,2009-05-30,"06:28:00","NA",NA,11.5,5.4,49.2,101.9,FALSE
"39","P015","PRESUMPSCOT RIVER - R07 - VRMP",2009,2009-05-30,"07:40:00","NA",NA,12.5,10.6,99.5,313,FALSE
"40","P020","PRESUMPSCOT RIVER - R24 - VRMP",2009,2009-05-30,"07:20:00","NA",NA,12.7,11.22,105.7,307.6,FALSE
"41","P030","PRESUMPSCOT RIVER - R47 - VRMP",2009,2009-05-30,"07:30:00","NA",NA,12.8,11.34,107.2,325.5,FALSE
"42","P080","PRESUMPSCOT RIVER - R126 - VRMP",2009,2009-05-30,"06:10:00","NA",NA,13.5,10.57,101.9,261.3,FALSE
"43","P089","PRESUMPSCOT RIVER - R129 - VRMP",2009,2009-05-30,"06:18:00","NA",NA,13.5,10.31,101.1,133.3,FALSE
"44","P110","PRESUMPSCOT RIVER - R133 - VRMP",2009,2009-05-30,"06:32:00","NA",NA,13.1,10.49,102.1,NA,FALSE
"45","P135","PRESUMPSCOT RIVER - R157 - VRMP",2009,2009-05-30,"07:26:00","NA",NA,13.9,9.5,83,1986.28,FALSE
"46","P150","PRESUMPSCOT RIVER - R166 - VRMP",2009,2009-05-30,"07:08:00","NA",NA,13.9,8.08,78.4,17.1,FALSE
"47","P160","PRESUMPSCOT RIVER - R195 - VRMP",2009,2009-05-30,"06:20:00","NA",NA,14.5,8.65,84.8,11,FALSE
"48","P170","PRESUMPSCOT RIVER - R202 - VRMP",2009,2009-05-30,"06:05:00","NA",NA,13.2,8.45,81.4,16,FALSE
"49","P170","PRESUMPSCOT RIVER - R202 - VRMP",2009,2009-05-30,"06:05:00","D",NA,NA,NA,NA,8.6,FALSE
"50","P200","PRESUMPSCOT RIVER - R225 - VRMP",2009,2009-05-30,"06:30:00","NA",NA,12.7,10.8,100.3,3.1,FALSE
"51","PI010","EAST BRANCH PISCATAQUA RIVER - RPSEB05 - VRMP",2009,2009-05-30,"06:50:00","NA",NA,10.8,10.6,96.1,816.4,FALSE
"52","PI020","PISCATAQUA RIVER - RPS12 - VRMP",2009,2009-05-30,"07:20:00","NA",NA,11,11.1,100.3,1203.31,FALSE
"53","PL010","PLEASANT RIVER - RPL06 - PRW",2009,2009-05-30,"06:30:00","NA",NA,12.4,10.7,99.6,1203.31,FALSE
